"Last updated","By","Route","Date of exposure","Time of exposure","Start location","End location","Health advice"
"02/08/2021","Bus","601","Saturday 24 July 2021","9:26am to 9:47am","Parramatta StationStand A4","Castle HillVictoria Avenue before Gladstone Road","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"02/08/2021","Bus","601","Saturday 24 July 2021","8:47pm to 9:07pm","Castle HillVictoria Avenue after Carrington Road","Parramatta StationStand B3","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"02/08/2021","Bus","705","Thursday 22 July 2021","6:20pm to 6:25pm","Pendle HillJoyce Street opposite Pendle Hill Station","GirraweenMandoon Road at Girraween","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"31/07/2021","Bus","461X","Tuesday 27 July 2021","8:09am to 8:17am","Summer HillParramatta Road after Sloane Street","CamperdownParramatta Road before Lyons Road","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"31/07/2021","Bus","473","Monday 26 July 2021","2:42pm to 2:51pm","CampsieDan's Corner, Beamish Street","EarlwoodEarlwood Shops","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"30/07/2021","Bus","492","Sunday 25 July 2021","11:06am to 11:15am","Campsie StationBeamish Street, Stand B","KingsgroveKingsgrove Road at Kingsgrove Avenue","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"30/07/2021","Bus","418-48","Sunday 25 July 2021","8:47am to 8:54am","StrathfieldLeicester Ave before Parramatta Road","Concord WestNSW Institute of Sports Medicine, Hospital Road","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"30/07/2021","Bus","415-81","Saturday 24 July 2021","4:51pm to 5:02pm","Strathfield StationAlbert Road, Stand G","BellfieldBelfield Shops, Burwood Road","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"30/07/2021","Train","T2 Inner West and Leppington Line","Friday 23 July 2021","4:11pm to 4:50pm","AuburnStation","Edmonson ParkStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"30/07/2021","Train","T2 Inner West and Leppington Line","Friday 23 July 2021","11:43pm to 12:23am","Edmonson ParkStation","AuburnStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"30/07/2021","Metro","Metro Line","Friday 23 July 2021","9:16am to 9:19am","Macquarie UniversityStation","EppingStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"30/07/2021","Train","T9 Northern Line","Friday 23 July 2021","9:24am to 9:43am","EppingStation","StrathfieldStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"30/07/2021","Bus","869","Friday 23 July 2021","4:53pm to 4:57pm","Edmonson ParkStand A","PrestonsCorfield Roadd before Braidwood,","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"30/07/2021","Bus","24","Friday 23 July 2021","1:58pm to 2:31pm","Tuggerah StationBryant Drive","Bateau Bay SquareAccess Road, Bay Village Road","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"30/07/2021","Bus","21","Friday 23 July 2021","3:41pm to 4:28pm","Long JettyLions Park, Central Coast Highway","Gosford StationStand N","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"30/07/2021","Bus","415-81","Friday 23 July 2021","9:53am to 10:06am","Strathfield StationAlbert Road, Stand G","BelfieldBelfield Shops, Burwood Road","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"30/07/2021","Bus","415-81","Friday 23 July 2021","4:47pm to 4:58pm","Strathfield StationAlbert Road, Stand G","BellfieldBelfield Shops, Burwood Road","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"30/07/2021","Train","T2 Inner West and Leppington Line","Thursday 22 July 2021","4:11pm to 4:50pm","AuburnStation","Edmonson ParkStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"30/07/2021","Bus","869","Thursday 22 July 2021","4:53pm to 4:57pm","Edmonson ParkStand A","Edmonson ParkBernera before CVW","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"29/07/2021","Train","T2 Inner West and Leppington Line","Saturday 24 July 2021","3:36pm to 3:51pm","BurwoodStation","RiverwoodStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"29/07/2021","Train","T8 Airport to South Line","Saturday 24 July 2021","3:54pm to 4:25pm","CentralStation","RiverwoodStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"29/07/2021","Train","T2 Inner West and Leppington Line","Friday 23 July 2021","12:12pm to 12:14pm","Burwood Station","Strathfield Station","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"29/07/2021","Train","T8 Airport to South Line","Friday 23 July 2021","8:09pm to 8:39pm","CentralStation","RiverwoodStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"29/07/2021","Train","Central Coast and Newcastle Line","Friday 23 July 2021","4:32pm to 5:58pm","GosfordStation","CentralStation","Anyone who travelled on this service for more than 30 minutes is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"29/07/2021","Train","Central Coast and Newcastle Line","Friday 23 July 2021","12:31pm to 1:50pm","StrathfieldStation","Tuggerah Station","Anyone who travelled on this service for more than 30 minutes is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"29/07/2021","Train","T2 Inner West and Leppington Line","Friday 23 July 2021","5:11pm to 5:26pm","YennoraStation","LidcombeStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"29/07/2021","Train","T3 Bankstown Line","Wednesday 21 July 2021","5:37pm to 5:51pm","BankstownStation","CanterburyStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"29/07/2021","Train","T2 Inner West and Leppington Line","Wednesday 21 July 2021","8:33pm to 8:52pm","CabramattaStation","AuburnStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"29/07/2021","Train","T3 Bankstown Line","Wednesday 21 July 2021","6:20am to 6:33am","CanterburyStation","BankstownStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"29/07/2021","Train","T9 Northern Line","Tuesday 20 July 2021","9:37am to 9:48am","BurwoodStation","RedfernStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"29/07/2021","Train","T9 Northern Line","Tuesday 20 July 2021","6:47pm to 6:57pm","RedfernStation","BurwoodStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"28/07/2021","Bus","Route 21","Friday 23 July 2021","3:41pm to 4:30pm","Long JettyLions Park, Central Coast Highway","GosfordStation","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"28/07/2021","Bus","Route 25","Friday 23 July 2021","1.58pm to 2.35pm","TuggerahStation","Bateau BaySquare","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"25/07/2021","Train","T5 Cumberland Line","Friday 23 July 2021","12:06pm to 12:10pm","Pendle HillStation","WentworthvilleStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"25/07/2021","Bus","817","Thursday 22 July 2021","9:28am to 9:36am","FairfieldStation, Stand A","Fairfield HeightsThe Boulevarde before Kihilla Street","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"25/07/2021","Bus","905","Thursday 22 July 2021","12:03pm to 12:13pm","FairfieldSmart Street opposite Fairfield Police Station","Fairfield EastTangerine Street before Woodville Road","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"25/07/2021","Bus","817","Thursday 22 July 2021","10:34am to 10:41am","Fairfield HeightsThe Boulevarde before Kihilla Street","FairfieldSmart Street before Spencer Street","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"25/07/2021","Train","T4 Eastern Suburbs and Illawarra Line","Tuesday 20 July 2021","6:44am to 7:01am","HurstvilleStation","KirraweeStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"25/07/2021","Train","T4 Eastern Suburbs and Illawarra Line","Tuesday 20 July 2021","2:44pm to 2:58pm","KirraweeStation","HurstvilleStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"25/07/2021","Train","T1 North Shore and Western Line","Tuesday 20 July 2021","2:03pm to 2:08pm","LidcombeStation","StrathfieldStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"25/07/2021","Train","T2 Inner West and Leppington Line","Tuesday 20 July 2021","1pm to 1:07pm","StrathfieldStation","LidcombeStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"24/07/2021","Bus","271","Wednesday 21 July 2021","2:16pm to 2:22pm","BelroseGlenrose Village Shopping Centre, Glen Street","Frenchs ForestWareham Reserve, Forest Way","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"24/07/2021","Bus","166","Wednesday 21 July 2021","2:23pm to 2:25pm","Frenchs ForestForestway Shopping Centre, Stand C","Frenchs ForestFrenchs Forest Road opposite The Forest High School","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"24/07/2021","Bus","160X","Wednesday 21 July 2021","3:11pm to 3:42pm","Frenchs ForestNorthern Beaches Hospital, Frenchs Forest Road","ChatswoodStation, Stand D","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"24/07/2021","Bus","271","Tuesday 20 July 2021","2:18pm to 2:35pm","BelroseGlenrose Village Shopping Centre, Glen Street","Frenchs ForestForest Way opposite Forestway Shopping Centre","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"24/07/2021","Bus","283","Tuesday 20 July 2021","6:19am to 6:54am","ChatswoodStation, Stand C","BelroseGlen Street opposite Glenrose Village Shopping Centre","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"24/07/2021","Bus","160X","Tuesday 20 July 2021","2:34pm to 2:51pm","Frenchs ForestRabbett Street at Forest Way","ChatswoodStation, Stand D","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"24/07/2021","Train","City Circle Line","Tuesday 20 July 2021","2:03pm to 2:09pm","LidcombeStation","StrathfieldStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"24/07/2021","Train","T2 Inner West and Leppington Line","Tuesday 20 July 2021","1pm to 1:08pm","StrathfieldStation","LidcombeStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."